Request_Type,Status_Code,User_Agent,Location,target
GET,403,Edge,Brazil,0
DELETE,301,Bot,China,0
POST,500,Opera,China,0
GET,301,Bot,France,0
POST,404,Firefox,Germany,0
DELETE,404,Firefox,Brazil,0
PUT,403,Firefox,India,0
GET,500,Chrome,China,0
GET,403,Safari,India,0
DELETE,500,Edge,Canada,0
PUT,500,Edge,Germany,0
PUT,404,Chrome,China,0
GET,500,Firefox,France,0
DELETE,404,Safari,China,0
DELETE,301,Safari,Germany,0
PUT,200,Chrome,India,0
GET,403,Chrome,France,1
DELETE,403,Firefox,USA,0
POST,200,Chrome,France,0
GET,500,Firefox,Canada,0
GET,500,Bot,France,0
PUT,403,Opera,Brazil,0
PUT,500,Safari,France,0
POST,200,Chrome,Brazil,0
POST,301,Firefox,India,0
PUT,301,Chrome,Brazil,0
PUT,404,Opera,USA,0
DELETE,301,Firefox,Brazil,0
POST,301,Bot,USA,0
GET,500,Safari,Brazil,0
DELETE,200,Safari,France,0
PUT,500,Edge,USA,0
POST,200,Edge,China,0
DELETE,403,Bot,India,0
DELETE,200,Firefox,France,0
GET,403,Bot,France,0
PUT,404,Firefox,Brazil,0
POST,200,Edge,India,0
PUT,404,Safari,India,0
DELETE,404,Chrome,France,0
POST,200,Edge,Canada,0
DELETE,200,Bot,Brazil,0
GET,200,Chrome,Germany,0
PUT,403,Opera,USA,0
GET,200,Safari,Germany,0
GET,404,Edge,India,0
GET,301,Chrome,Canada,0
PUT,404,Bot,Canada,0
PUT,301,Chrome,France,0
DELETE,403,Firefox,India,0
DELETE,301,Safari,USA,0
PUT,200,Edge,China,0
POST,301,Firefox,China,0
POST,403,Chrome,China,0
PUT,404,Opera,France,0
PUT,404,Firefox,Germany,0
POST,403,Opera,India,0
GET,403,Firefox,Germany,0
PUT,200,Chrome,Canada,0
PUT,403,Firefox,India,0
DELETE,404,Bot,France,0
PUT,404,Firefox,China,0
POST,500,Edge,China,0
PUT,301,Firefox,China,0
DELETE,403,Bot,France,0
DELETE,404,Edge,China,0
PUT,404,Opera,India,0
DELETE,200,Bot,India,0
POST,403,Firefox,China,0
PUT,403,Bot,India,0
POST,301,Chrome,Brazil,0
POST,500,Edge,Canada,0
DELETE,200,Safari,France,0
DELETE,200,Edge,Brazil,0
POST,200,Safari,China,0
PUT,500,Edge,USA,0
GET,301,Edge,Brazil,0
PUT,301,Safari,France,0
DELETE,500,Edge,China,0
POST,404,Safari,China,0
PUT,403,Opera,China,0
DELETE,404,Chrome,India,0
POST,200,Safari,Germany,0
POST,404,Opera,India,0
POST,500,Opera,Brazil,0
GET,403,Edge,Brazil,0
POST,403,Firefox,Germany,0
POST,404,Firefox,Brazil,0
