job,marital,education,default,housing,loan,contact,month,day_of_week,poutcome,target
housemaid,married,basic.4y,no,no,no,telephone,may,mon,nonexistent,0
services,married,high.school,unknown,no,no,telephone,may,mon,nonexistent,0
services,married,high.school,no,yes,no,telephone,may,mon,nonexistent,0
admin.,married,basic.6y,no,no,no,telephone,may,mon,nonexistent,0
services,married,high.school,no,no,yes,telephone,may,mon,nonexistent,0
services,married,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,0
admin.,married,professional.course,no,no,no,telephone,may,mon,nonexistent,0
blue-collar,married,unknown,unknown,no,no,telephone,may,mon,nonexistent,0
technician,single,professional.course,no,yes,no,telephone,may,mon,nonexistent,0
services,single,high.school,no,yes,no,telephone,may,mon,nonexistent,0
blue-collar,married,unknown,unknown,no,no,telephone,may,mon,nonexistent,0
services,single,high.school,no,yes,no,telephone,may,mon,nonexistent,0
blue-collar,single,high.school,no,no,yes,telephone,may,mon,nonexistent,0
housemaid,divorced,basic.4y,no,yes,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,nonexistent,0
retired,married,basic.9y,unknown,yes,yes,telephone,may,mon,nonexistent,0
blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,mon,nonexistent,0
blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,nonexistent,0
management,single,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,0
unemployed,married,high.school,no,no,no,telephone,may,mon,nonexistent,0
blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,nonexistent,0
retired,single,high.school,no,yes,no,telephone,may,mon,nonexistent,0
technician,single,high.school,no,yes,no,telephone,may,mon,nonexistent,0
admin.,married,high.school,no,yes,no,telephone,may,mon,nonexistent,0
technician,married,university.degree,no,no,yes,telephone,may,mon,nonexistent,0
technician,married,unknown,no,yes,no,telephone,may,mon,nonexistent,0
self-employed,married,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,0
technician,single,university.degree,unknown,no,no,telephone,may,mon,nonexistent,0
unknown,married,university.degree,unknown,unknown,unknown,telephone,may,mon,nonexistent,0
admin.,married,unknown,no,no,no,telephone,may,mon,nonexistent,0
technician,married,unknown,no,yes,no,telephone,may,mon,nonexistent,0
blue-collar,married,unknown,no,no,no,telephone,may,mon,nonexistent,0
management,married,basic.4y,unknown,yes,no,telephone,may,mon,nonexistent,0
blue-collar,divorced,basic.4y,no,no,no,telephone,may,mon,nonexistent,0
unknown,married,basic.4y,unknown,yes,no,telephone,may,mon,nonexistent,0
services,married,high.school,no,no,no,telephone,may,mon,nonexistent,0
technician,married,basic.9y,no,yes,no,telephone,may,mon,nonexistent,0
admin.,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,0
technician,married,basic.4y,no,yes,no,telephone,may,mon,nonexistent,0
