device_type,os_version,app_usage_pattern,protocol,data_volume,log_type,event,event_description,error_code,file_accessed,process,ioc,target
iPhone,iOS 14.6,Low,HTTPS,190,system,App Install,793,423,/tmp/malware.bin,malware.exe,Pegasus Signature,1
iPhone,Android 10,Normal,FTP,5845,application,System Update,551,637,/var/log/syslog,chrome.exe,Pegasus Signature,1
iPhone,Android 11,Normal,SSH,3629,application,Logout,278,168,/var/log/syslog,malware.exe,None,1
iPhone,Android 11,High,FTP,4575,security,App Crash,126,567,/home/user/docs/report.docx,malware.exe,Known Malicious IP,1
Android,iOS 14.6,Normal,SSH,1607,system,Logout,308,115,/tmp/malware.bin,systemd,Known Malicious IP,0
iPhone,Android 10,Normal,HTTPS,2242,security,App Crash,8,616,/tmp/malware.bin,malware.exe,Known Malicious IP,1
iPhone,Android 10,High,FTP,6383,system,Logout,410,478,/var/log/syslog,chrome.exe,None,1
iPhone,Android 10,Low,FTP,9701,system,System Update,754,528,/var/log/syslog,systemd,None,1
iPhone,iOS 15.0,High,HTTP,9002,system,Logout,192,915,/home/user/docs/report.docx,explorer.exe,Known Malicious IP,1
iPhone,iOS 14.6,Low,HTTPS,861,security,File Access,357,959,/home/user/docs/report.docx,chrome.exe,None,1
iPhone,Android 10,Low,HTTPS,7538,security,App Crash,309,419,/tmp/malware.bin,systemd,Pegasus Signature,1
Android,iOS 14.6,Normal,HTTPS,1944,application,System Update,545,514,/tmp/malware.bin,malware.exe,Pegasus Signature,1
Android,Android 10,Normal,HTTP,5784,security,Logout,242,726,/var/log/syslog,malware.exe,Pegasus Signature,1
Android,iOS 14.6,Low,HTTP,2180,security,Logout,740,656,/var/log/syslog,systemd,Known Malicious IP,1
iPhone,iOS 14.6,Low,FTP,1133,system,File Access,665,765,/var/log/syslog,malware.exe,Pegasus Signature,0
Android,Android 11,High,HTTPS,5457,application,App Install,517,396,/tmp/malware.bin,explorer.exe,Known Malicious IP,1
iPhone,iOS 15.0,Normal,HTTPS,893,security,Logout,321,632,/home/user/docs/report.docx,chrome.exe,Known Malicious IP,1
Android,Android 11,Normal,SSH,2778,system,Logout,718,268,/var/log/syslog,systemd,Known Malicious IP,0
Android,iOS 15.0,Normal,FTP,5111,security,File Access,726,719,/tmp/malware.bin,systemd,Known Malicious IP,1
iPhone,Android 10,Low,HTTPS,7842,system,Login,473,443,/home/user/docs/report.docx,explorer.exe,Pegasus Signature,1
Android,iOS 15.0,Normal,SSH,5031,system,File Access,355,113,/home/user/docs/report.docx,malware.exe,Known Malicious IP,1
iPhone,iOS 15.0,Low,FTP,1810,system,Logout,568,390,/var/log/syslog,chrome.exe,Known Malicious IP,1
Android,Android 11,Low,HTTPS,5199,security,System Update,970,195,/var/log/syslog,explorer.exe,None,1
Android,Android 10,Normal,HTTPS,8368,security,App Install,531,464,/var/log/syslog,systemd,None,0
Android,iOS 14.6,Normal,FTP,6915,security,Logout,109,223,/var/log/syslog,chrome.exe,Pegasus Signature,1
iPhone,iOS 15.0,Low,HTTP,374,security,Login,63,499,/home/user/docs/report.docx,systemd,Pegasus Signature,0
Android,iOS 14.6,Low,SSH,2023,security,File Access,424,599,/tmp/malware.bin,chrome.exe,None,1
Android,iOS 15.0,Low,FTP,6194,application,Logout,948,264,/tmp/malware.bin,malware.exe,Known Malicious IP,1
iPhone,Android 11,Normal,HTTP,1728,security,File Access,802,485,/var/log/syslog,chrome.exe,Known Malicious IP,1
iPhone,iOS 15.0,High,SSH,5178,application,File Access,828,148,/tmp/malware.bin,systemd,Pegasus Signature,1
Android,Android 11,Normal,HTTP,2057,application,System Update,565,482,/tmp/malware.bin,systemd,Known Malicious IP,1
Android,iOS 14.6,Normal,SSH,3085,security,File Access,463,448,/home/user/docs/report.docx,chrome.exe,Pegasus Signature,1
iPhone,iOS 14.6,Low,HTTP,8862,application,Login,325,524,/tmp/malware.bin,explorer.exe,None,1
iPhone,iOS 14.6,Low,SSH,6922,application,Login,899,845,/var/log/syslog,malware.exe,Pegasus Signature,1
Android,iOS 14.6,High,HTTP,7277,system,Logout,578,357,/home/user/docs/report.docx,systemd,Known Malicious IP,0
iPhone,iOS 14.6,Normal,FTP,7762,application,App Install,308,998,/tmp/malware.bin,explorer.exe,Pegasus Signature,1
Android,iOS 14.6,Normal,FTP,8346,system,System Update,104,646,/var/log/syslog,systemd,None,1
iPhone,iOS 15.0,High,HTTP,6365,security,App Install,533,386,/tmp/malware.bin,chrome.exe,Pegasus Signature,1
Android,Android 10,Normal,HTTPS,3269,system,File Access,799,238,/tmp/malware.bin,explorer.exe,Pegasus Signature,1
iPhone,Android 11,High,FTP,8155,security,App Crash,952,735,/home/user/docs/report.docx,systemd,None,1
iPhone,Android 11,Low,SSH,9803,system,System Update,876,134,/home/user/docs/report.docx,systemd,None,0
Android,iOS 14.6,Low,HTTP,5038,system,App Crash,459,509,/tmp/malware.bin,chrome.exe,Known Malicious IP,1
Android,iOS 15.0,Normal,HTTPS,7450,system,App Install,578,102,/home/user/docs/report.docx,systemd,None,1
Android,iOS 15.0,High,FTP,5281,system,System Update,300,890,/home/user/docs/report.docx,systemd,Pegasus Signature,1
Android,Android 11,Normal,HTTP,7015,system,Login,890,249,/home/user/docs/report.docx,systemd,Known Malicious IP,0
iPhone,iOS 14.6,Normal,HTTP,4538,system,Logout,510,196,/var/log/syslog,chrome.exe,Known Malicious IP,1
